2026-04-15 21:58:42,613 | mock_robots | INFO | Starting mock robots with sensor endpoint tcp://127.0.0.1:6001 and command endpoint tcp://127.0.0.1:6002
2026-04-15 22:12:29,844 | mock_robots | INFO | [galaxy] Teleop keys=['w', 'd']
2026-04-15 22:12:29,871 | mock_robots | INFO | [galaxy] Teleop keys=['d']
2026-04-15 22:12:30,021 | mock_robots | INFO | [galaxy] Teleop keys=['s', 'd']
2026-04-15 22:12:30,066 | mock_robots | INFO | [galaxy] Teleop keys=['s']
2026-04-15 22:12:30,228 | mock_robots | INFO | [galaxy] Teleop keys=['a']
2026-04-15 22:12:30,423 | mock_robots | INFO | [galaxy] Teleop keys=['w']
2026-04-15 22:12:30,585 | mock_robots | INFO | [galaxy] Teleop keys=['w', 'd']
2026-04-15 22:12:30,616 | mock_robots | INFO | [galaxy] Teleop keys=['d']
2026-04-15 22:12:30,760 | mock_robots | INFO | [galaxy] Teleop keys=['s', 'd']
2026-04-15 22:12:30,860 | mock_robots | INFO | [galaxy] Teleop keys=['s']
2026-04-15 22:12:30,926 | mock_robots | INFO | [galaxy] Teleop keys=['s', 'a']
2026-04-15 22:12:30,986 | mock_robots | INFO | [galaxy] Teleop keys=['a']
2026-04-15 22:12:31,123 | mock_robots | INFO | [galaxy] Teleop keys=['w', 'a']
2026-04-15 22:12:31,184 | mock_robots | INFO | [galaxy] Teleop keys=['w']
2026-04-15 22:12:31,285 | mock_robots | INFO | [galaxy] Teleop keys=['w', 'd']
2026-04-15 22:12:31,308 | mock_robots | INFO | [galaxy] Teleop keys=['d']
2026-04-15 22:12:31,448 | mock_robots | INFO | [galaxy] Teleop keys=['s', 'd']
2026-04-15 22:12:31,511 | mock_robots | INFO | [galaxy] Teleop keys=['s']
2026-04-15 22:12:31,638 | mock_robots | INFO | [galaxy] Teleop keys=['a']
2026-04-15 22:12:31,839 | mock_robots | INFO | [galaxy] Teleop keys=['w', 'a']
2026-04-15 22:12:31,906 | mock_robots | INFO | [galaxy] Teleop keys=['d']
2026-04-15 22:12:32,102 | mock_robots | INFO | [galaxy] Teleop keys=['s']
2026-04-15 22:12:32,200 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:33,224 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:34,249 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:35,268 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:36,296 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:37,314 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:13:57,941 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:13:58,956 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:14:27,399 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:14:28,433 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:15:54,665 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:15:55,689 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:15:57,213 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:15:58,236 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:16:48,543 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:21:25,750 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:21:26,765 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:21:29,073 | mock_robots | INFO | [galaxy] Received task: {'task_type': 'benchmark2', 'task_content': '123'}
2026-04-15 22:21:29,073 | mock_robots | INFO | [piper] Received task: {'task_type': 'benchmark2', 'task_content': '123'}
2026-04-15 22:21:29,073 | mock_robots | INFO | [ysc] Received task: {'task_type': 'benchmark2', 'task_content': '123'}
2026-04-15 22:22:57,192 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:23:48,550 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:23:49,573 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:23:57,348 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:23:58,365 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:23:59,402 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:00,418 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:01,445 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:02,464 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:03,487 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:04,489 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:05,506 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:06,522 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:07,553 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:08,573 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:09,595 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:10,615 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:11,640 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:12,673 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:13,683 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:14,717 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:15,733 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:16,785 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:17,813 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:18,831 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:19,854 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:20,878 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:21,900 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:22,927 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:23,956 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:24,970 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:26,530 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:27,552 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:24:28,732 | mock_robots | INFO | Stopping mock robots
2026-04-15 22:24:28,750 | mock_robots | INFO | [galaxy] Mock robot stopped
2026-04-15 22:24:28,763 | mock_robots | INFO | [ysc] Mock robot stopped
2026-04-15 22:24:28,767 | mock_robots | INFO | [piper] Mock robot stopped
